from_page,to_page,transition_count
https://formation-ecommerce.avisia.fr/commande,https://formation-ecommerce.avisia.fr/commande,174
https://formation-ecommerce.avisia.fr/,https://formation-ecommerce.avisia.fr/commande,170
https://formation-ecommerce.avisia.fr/panier?action=show,https://formation-ecommerce.avisia.fr/commande,127
https://formation-ecommerce.avisia.fr/vetements/38-53-avisia-tee-shirt-seminaire.html,https://formation-ecommerce.avisia.fr/commande,56
https://formation-ecommerce.avisia.fr/,https://formation-ecommerce.avisia.fr/panier?action=show,49
https://formation-ecommerce.avisia.fr/produits-sucres/52-boite-de-bombons-30-pieces-1418758100341.html,https://formation-ecommerce.avisia.fr/commande,48
https://formation-ecommerce.avisia.fr/accessoires/45-avisia-stylo--8392657365527.html,https://formation-ecommerce.avisia.fr/commande,40
https://formation-ecommerce.avisia.fr/papeterie/44-avisia-carnet-7173192463811.html,https://formation-ecommerce.avisia.fr/commande,33
https://formation-ecommerce.avisia.fr/vetements/38-52-avisia-tee-shirt-seminaire.html,https://formation-ecommerce.avisia.fr/commande,32
https://formation-ecommerce.avisia.fr/produits-sucres/52-boite-de-bombons-30-pieces-1418758100341.html,https://formation-ecommerce.avisia.fr/produits-sucres/52-boite-de-bombons-30-pieces-1418758100341.html,27
https://formation-ecommerce.avisia.fr/boissons/48-bouteille-025cl-3508292862612.html,https://formation-ecommerce.avisia.fr/commande,24
https://formation-ecommerce.avisia.fr/vetements/39-49-avisia-tee-shirt-seminaire-2.html,https://formation-ecommerce.avisia.fr/commande,24
https://formation-ecommerce.avisia.fr/vetements/33-avisia-chapeau-8410288420479.html,https://formation-ecommerce.avisia.fr/commande,24
https://formation-ecommerce.avisia.fr/accessoires/43-avisia-tasse-8330231620177.html,https://formation-ecommerce.avisia.fr/commande,24
https://formation-ecommerce.avisia.fr/vetements/32-avisia-cache-cou-3812673447596.html,https://formation-ecommerce.avisia.fr/commande,24
https://formation-ecommerce.avisia.fr/,https://formation-ecommerce.avisia.fr/,22
https://formation-ecommerce.avisia.fr/accessoires-travail/55-gourde-transparente-et-noire-1l-2658326177279.html,https://formation-ecommerce.avisia.fr/commande,21
https://formation-ecommerce.avisia.fr/,https://formation-ecommerce.avisia.fr/produits-sucres/52-boite-de-bombons-30-pieces-1418758100341.html,21
https://formation-ecommerce.avisia.fr/vetements/42-40-avisia-doudoune-a-manche-courte.html,https://formation-ecommerce.avisia.fr/commande,20
https://formation-ecommerce.avisia.fr/vetements/42-41-avisia-doudoune-a-manche-courte.html,https://formation-ecommerce.avisia.fr/commande,20
